charcter	definition	pinyin
的	possessive, adjectival suffix	de
一	one; a, an; alone	yī
是	indeed, yes, right; to be; demonstrative pronoun, this, that	shì
不	no, not; un-; negative prefix	bù
了	to finish; particle of completed action	le
在	be at, in, on; consist in, rest	zài
人	man; people; mankind; someone else	rén
有	have, own, possess; exist	yǒu
我	our, us, i, me, my, we	wǒ
他	other, another; he, she, it	tā
这	this, the, here	zhè
个	numerary adjunct, piece; single	gè
们	adjunct pronoun indicate plural	men
中	central; center, middle; in the midst of; hit (target); attain	zhōng
来	come, coming; return, returning	lái
上	top; superior, highest; go up, send up	shàng
大	big, great, vast, large, high	dà
为	do, handle, govern, act; be	wèi
和	harmony, peace; peaceful, calm	hé
国	nation, country, nation-state	guó
地	earth; soil, ground; region	de
到	go to, arrive, been to	dào
以	by means of; thereby, therefore; consider as; in order to	yǐ
说	speak, say, talk; scold, upbraid	shuō
时	time, season; era, age, period	shí
要	necessary, essential; necessity	yào
就	just, simply; to come, go to; to approach, near	jiù
出	go out, send out; stand; produce	chū
会	assemble, meet together; meeting	huì
可	may, can, -able; possibly	kě
也	also; classical final particle of strong affirmation or identity	yě
你	you, second person pronoun	nǐ
对	correct, right; facing, opposed	duì
生	life, living, lifetime; birth	shēng
能	to be able; can, permitted to; ability	néng
而	and; and then; and yet; but	ér
子	offspring, child; fruit, seed of; 1st terrestrial branch	zi
那	that, that one, those	nà
得	obtain, get, gain, acquire	dé
于	in, on, at; go to; surname	yú
着	make move, take action	zhe
下	under, underneath, below; down; inferior; bring down	xià
自	self, private, personal; from	zì
之	marks preceding phrase as modifier of following phrase; it, him her, them; go to	zhī
年		nián
过	pass, pass through, go across	guò
发	issue, dispatch, send out; hair	fā
后	queen, empress, sovereign; (simp. for 	hòu
作	make; work; compose, write; act, perform	zuò
里	unit of distance; village; lane	lǐ
用	use, employ, apply, operate; use	yòng
道	path, road, street; method, way	dào
行	go; walk; move, travel; circulate	xíng
所	place, location; numerary adjunct	suǒ
然	yes, certainly; pledge, promise	rán
家	house, home, residence; family	jiā
种	seed; race, breed; to plant	zhǒng
事	affair, matter, business; to serve; accident, incident	shì
成	completed, finished, fixed	chéng
方	a square, rectangle; a region; local	fāng
多	much, many; more than, over	duō
经	classic works; pass through	jīng
么	interrogative particle; repetition of a tune small; tender	me
去	go away, leave, depart	qù
法	law, rule, regulation, statute; France, French	fǎ
学	learning, knowledge; school	xué
如	if, supposing; as if; like, as	rú
都	metropolis, capital; all, the whole; elegant, refined	dōu
同	same, similar; together with	tóng
现	appear, manifest, become visible	xiàn
当	bear, accept, undertake; just	dāng
没	not, have not, none; drown, sink	méi
动	move, happen; movement, action	dòng
面	face; surface; plane; side, dimension	miàn
起	rise, stand up; go up; begin	qǐ
看	look, see; examine, scrutinize	kàn
定	decide, settle, fix	dìng
天	sky, heaven; god, celestial	tiān
分	divide; small unit of time etc.	fēn
还	still, yet, also, besides	hái
进	advance, make progress, enter	jìn
好	good, excellent, fine; well	hǎo
小	small, tiny, insignificant	xiǎo
部	part, division, section	bù
其	his, her, its, their; that	qí
些	little, few; rather, somewhat	xiē
主	master, chief owner; host; lord	zhǔ
样	shape, form, pattern, style	yàng
理	reason, logic; manage	lǐ
心	heart; mind, intelligence; soul	xīn
她	she, her	tā
本	root, origin, source; basis	běn
前	in front, forward; preceding	qián
开	open; initiate, begin, start	kāi
但	only; but, however, yet, still	dàn
因	cause, reason; by; because (of)	yīn
只	only, just, simply	zhǐ
从	from, by, since, whence, through	cóng
想	think, speculate, plan, consider	xiǎng
实	real, true; honest, sincere	shí
的	possessive, adjectival suffix	de
一	one; a, an; alone	yī
是	indeed, yes, right; to be; demonstrative pronoun, this, that	shì
不	no, not; un-; negative prefix	bù
了	to finish; particle of completed action	le
在	be at, in, on; consist in, rest	zài
人	man; people; mankind; someone else	rén
有	have, own, possess; exist	yǒu
我	our, us, i, me, my, we	wǒ
他	other, another; he, she, it	tā
这	this, the, here	zhè
个	numerary adjunct, piece; single	gè
们	adjunct pronoun indicate plural	men
中	central; center, middle; in the midst of; hit (target); attain	zhōng
来	come, coming; return, returning	lái
上	top; superior, highest; go up, send up	shàng
大	big, great, vast, large, high	dà
为	do, handle, govern, act; be	wèi
和	harmony, peace; peaceful, calm	hé
国	nation, country, nation-state	guó
地	earth; soil, ground; region	de
到	go to, arrive, been to	dào
以	by means of; thereby, therefore; consider as; in order to	yǐ
说	speak, say, talk; scold, upbraid	shuō
时	time, season; era, age, period	shí
要	necessary, essential; necessity	yào
就	just, simply; to come, go to; to approach, near	jiù
出	go out, send out; stand; produce	chū
会	assemble, meet together; meeting	huì
可	may, can, -able; possibly	kě
也	also; classical final particle of strong affirmation or identity	yě
你	you, second person pronoun	nǐ
对	correct, right; facing, opposed	duì
生	life, living, lifetime; birth	shēng
能	to be able; can, permitted to; ability	néng
而	and; and then; and yet; but	ér
子	offspring, child; fruit, seed of; 1st terrestrial branch	zi
那	that, that one, those	nà
得	obtain, get, gain, acquire	dé
于	in, on, at; go to; surname	yú
着	make move, take action	zhe
下	under, underneath, below; down; inferior; bring down	xià
自	self, private, personal; from	zì
之	marks preceding phrase as modifier of following phrase; it, him her, them; go to	zhī
年		nián
过	pass, pass through, go across	guò
发	issue, dispatch, send out; hair	fā
后	queen, empress, sovereign; (simp. for 	hòu
作	make; work; compose, write; act, perform	zuò
里	unit of distance; village; lane	lǐ
用	use, employ, apply, operate; use	yòng
道	path, road, street; method, way	dào
行	go; walk; move, travel; circulate	xíng
所	place, location; numerary adjunct	suǒ
然	yes, certainly; pledge, promise	rán
家	house, home, residence; family	jiā
种	seed; race, breed; to plant	zhǒng
事	affair, matter, business; to serve; accident, incident	shì
成	completed, finished, fixed	chéng
方	a square, rectangle; a region; local	fāng
多	much, many; more than, over	duō
经	classic works; pass through	jīng
么	interrogative particle; repetition of a tune small; tender	me
去	go away, leave, depart	qù
法	law, rule, regulation, statute; France, French	fǎ
学	learning, knowledge; school	xué
如	if, supposing; as if; like, as	rú
都	metropolis, capital; all, the whole; elegant, refined	dōu
同	same, similar; together with	tóng
现	appear, manifest, become visible	xiàn
当	bear, accept, undertake; just	dāng
没	not, have not, none; drown, sink	méi
动	move, happen; movement, action	dòng
面	face; surface; plane; side, dimension	miàn
起	rise, stand up; go up; begin	qǐ
看	look, see; examine, scrutinize	kàn
定	decide, settle, fix	dìng
天	sky, heaven; god, celestial	tiān
分	divide; small unit of time etc.	fēn
还	still, yet, also, besides	hái
进	advance, make progress, enter	jìn
好	good, excellent, fine; well	hǎo
小	small, tiny, insignificant	xiǎo
部	part, division, section	bù
其	his, her, its, their; that	qí
些	little, few; rather, somewhat	xiē
主	master, chief owner; host; lord	zhǔ
样	shape, form, pattern, style	yàng
理	reason, logic; manage	lǐ
心	heart; mind, intelligence; soul	xīn
她	she, her	tā
本	root, origin, source; basis	běn
前	in front, forward; preceding	qián
开	open; initiate, begin, start	kāi
但	only; but, however, yet, still	dàn
因	cause, reason; by; because (of)	yīn
只	only, just, simply	zhǐ
从	from, by, since, whence, through	cóng
想	think, speculate, plan, consider	xiǎng
实	real, true; honest, sincere	shí
日	sun; day; daytime	rì
军	army, military; soldiers, troops	jūn
者	that which; he who; those who	zhě
意	thought, idea, opinion; think	yì
无	negative, no, not; KangXi radical 71	wú
力	power, capability, influence	lì
它	it; other	tā
与	and; with; to; for; give, grant	yǔ
长	long; length; excel in; leader	zhǎng
把	hold, take; guard; regard as	bǎ
机	desk; machine; moment	jī
十	ten, tenth; complete; perfect	shí
民	people, subjects, citizens	mín
第	sequence, number; grade, degree	dì
公	fair, equitable; public; duke	gōng
此	this, these; in this case, then	cǐ
已	already; finished; stop	yǐ
工	labor, work; worker, laborer	gōng
使	cause, send on a mission, order; envoy, messenger, ambassador	shǐ
情	feeling, sentiment, emotion	qíng
明	bright, light, brilliant; clear	míng
性	nature, character, sex	xìng
知	know, perceive, comprehend	zhī
全	maintain, keep whole or intact	quán
三	three	sān
又	and, also, again, in addition	yòu
关	frontier pass; close; relation	guān
点	dot, speck, spot; point, degree	diǎn
正	right, proper, correct	zhèng
业	profession, business; GB radical 111	yè
外	out, outside, external; foreign	wài
将	will, going to, future; general	jiāng
两	two, both, pair, couple; ounce	liǎng
高	high, tall; lofty, elevated	gāo
间	midpoint, space; place, locality	jiān
由	cause, reason; from	yóu
问	ask about, inquire after	wèn
很	very, quite, much	hěn
最	most, extremely, exceedingly	zuì
重	heavy, weighty; double	zhòng
并		bìng
物	thing, substance, creature	wù
手	hand	shǒu
应	should, ought to, must	yīng
战	war, fighting, battle	zhàn
向	toward, direction, trend	xiàng
头	head; top; chief, first; boss	tóu
文	literature, culture, writing	wén
体	body; group, class, body, unit; inferior	tǐ
政	government, political affairs	zhèng
美	beautiful, pretty; pleasing	měi
相	mutual, reciprocal, each other	xiāng
见	see, observe, behold; perceive	jiàn
被		bèi
利	gains, advantage, profit, merit	lì
什	file of ten soldiers; mixed, miscellaneous	shén
二	two; twice	èr
等		děng
产	give birth, bring forth, produce	chǎn
或	or, either, else; perhaps, maybe	huò
新	new, recent, fresh, modern	xīn
己	self, oneself; personal, private; 6th heavenly stem	jǐ
制	system; establish; overpower	zhì
身	body; trunk, hull; rad. no. 158	shēn
果	fruit; result	guǒ
加	add to, increase, augment	jiā
西	west(ern); westward, occident	xī
斯	this, thus, such; to lop off; emphatic particle	sī
月	moon; month; KangXi radical 74	yuè
话	speech, talk, language; dialect	huà
合	combine, unite, join; gather	hé
回	return, turn around; a time	huí
特	special, unique, distinguished	tè
代	replace, replacement (of person or generation); era, generation	dài
内	inside	nèi
信	trust, believe; letter	xìn
表	show, express, manifest, display	biǎo
化	change, convert, reform; -ize	huà
老	old, aged; experienced	lǎo
给	give; by, for	gěi
世	generation; world; era	shì
位	throne; position, post; rank, status; seat	wèi
次	order, sequence; next	cì
度	degree, system; manner; to consider	dù
门	gate, door, entrance, opening	mén
任	trust to, rely on, appoint; to bear, duty, office; allow	rèn
常	common, normal, frequent, regular	cháng
先	first, former, previous	xiān
海	sea, ocean; maritime	hǎi
通	pass through, common, communicate	tōng
教	teach, class	jiào
儿	son, child; KangXi radical 10	ér
原	source, origin, beginning	yuán
东	east, eastern, eastward	dōng
声	sound, voice, noise; tone; music	shēng
提	hold in hand; lift in hand	tí
立	stand; let stand; establish, set	lì
及	extend; reach; come up to; and	jí
比	to compare, liken; comparison; than	bǐ
员	member; personnel, staff member	yuán
解	loosen, unfasten, untie; explain	jiě
水	water, liquid, lotion, juice	shuǐ
名	name, rank, title, position	míng
真	real, actual, true, genuine	zhēn
论	debate; discuss; discourse	lùn
处	place, locale; department	chù
走	walk, go on foot; run; leave	zǒu
义	right conduct, righteousness	yì
各	each, individually, every, all	gè
入	enter, come in(to), join	rù
几	small table	jǐ
口	mouth; open end; entrance, gate	kǒu
认	recognize, know, understand	rèn
条	clause, condition; string, stripe	tiáo
平	flat, level, even; peaceful	píng
系	system; line, link, connection	xì
气	steam, vapor; KangXi radical 84	qì
题	forehead; title, headline; theme	tí
活	live, exist, survive; lively	huó
尔	you; that, those; final particle	ěr
更	more, still further, much more	gèng
别	separate, other; do not	bié
打	strike, hit, beat; fight; attack	dǎ
女	woman, girl; feminine; rad. 38	nǚ
变	change, transform, alter; rebel	biàn
四	four	sì
神	spirit, god, supernatural being	shén
总	collect; overall, altogether	zǒng
何	what, why, where, which, how	hé
电	electricity; electric; lightning	diàn
数	number; several, count; fate	shù
安	peaceful, tranquil, quiet	ān
少	few, less, inadequate	shǎo
报	report, tell, announce	bào
才	talent, ability; just, only	cái
结	knot, tie; join, connect	jié
反	reverse, opposite, contrary, anti	fǎn
受	receive, accept, get; bear, stand	shòu
目	eye; look, see; division, topic	mù
太	very, too, much; big; extreme	tài
量	measure, quantity, capacity	liàng
再	again, twice, re-	zài
感	feel, perceive, emotion	gǎn
建	build, establish, erect, found	jiàn
务	affairs, business; must, should	wù
做	work, make; act	zuò
接	receive; continue; catch; connect	jiē
必	surely, most certainly; must	bì
场	open space, field, market	chǎng
件	numerary adjunct for article; matter	jiàn
计	plan, plot; strategem; scheme	jì
管	pipe, tube, duct; woodwind music	guǎn
期	period of time; date; time limit	qī
市	market, fair; city, town; trade	shì
直	straight, erect, vertical	zhí
德	ethics, morality, virtue	dé
资	property; wealth; capital	zī
命	life; destiny, fate, luck; an order, instruction	mìng
山	mountain, hill, peak	shān
金	gold; metals in general; money	jīn
指	finger, toe; point, indicate	zhǐ
克	gram; overcome; transliteration	kè
许	allow, permit; promise; betroth	xǔ
统	govern, command, control; unite	tǒng
区	area, district, region, ward	qū
保	protect, safeguard, defend, care	bǎo
至	reach, arrive; extremely, very	zhì
队	team, group; army unit	duì
形	form, shape, appearance	xíng
社	god of the soil and altars to him; group of families; company, society	shè
便	convenience, ease; expedient	biàn
空	empty, hollow, bare, deserted	kōng
决	decide, determine, judge	jué
治	govern, regulate, administer	zhì
展	open, unfold; stretch, extend	zhǎn
马	horse; surname; KangXi radical 187	mǎ
科	section, department, science	kē
司	take charge of, control, manage; officer	sī
五	five; surname	wǔ
基	foundation, base	jī
眼	eye; eyelet, hole, opening	yǎn
书	book, letter, document; writings	shū
非	not, negative, non-; oppose	fēi
则	rule, law, regulation; grades	zé
听	hear; understand; obey, comply	tīng
白	white; pure, unblemished; bright	bái
却	still, but; decline; retreat	què
界	boundary, limit; domain; society; the world	jiè
达	arrive at, reach; intelligent; smooth, slippery	dá
光	light, brilliant, shine; only	guāng
放	put, release, free, liberate	fàng
强	strong, powerful, energetic	qiáng
即	promptly, quickly, immediately	jí
像	a picture, image, figure; to resemble	xiàng
难	difficult, arduous, hard; unable	nán
且	moreover, also (post-subject); about to, will soon (pre-verb)	qiě
权	power, right, authority	quán
思	think, consider, ponder; final particle	sī
王	king, ruler; royal; surname	wáng
象	elephant; ivory; figure, image	xiàng
完	complete, finish, settle; whole	wán
设	build; establish; display	shè
式	style, system, formula, rule	shì
色	color, tint, hue, shade; form, body; beauty, desire for beauty	sè
路	road, path, street; journey	lù
记	record; keep in mind, remember	jì
南	south; southern part; southward	nán
品	article, product, commodity	pǐn
住	reside, live at, dwell, lodge; stop	zhù
告	tell, announce, inform; accuse	gào
类	class, group, kind, category	lèi
求	seek; demand, request; beseech	qiú
据	to occupy, take possession of; a base, position	jù
程	journey, trip; schedule, agenda	chéng
北	north; northern; northward	běi
边	edge, margin, side, border	biān
死	die; dead; death	sǐ
张	stretch, extend, expand; sheet	zhāng
该	should, ought to, need to	gāi
交	mix; intersect; exchange, communicate; deliver	jiāo
规	rules, regulations, customs, law	guī
万	ten thousand; innumerable	wàn
取	take, receive, obtain; select	qǔ
拉	pull, drag; seize, hold; lengthen	lā
格	pattern, standard, form; style	gé
望	to look at, look forward; to hope, expect	wàng
觉	to wake up from sleep; conscious	jué
术	art, skill, special feat; method, technique	shù
领	neck; collar; lead, guide	lǐng
共	together with, all, total; to share	gòng
确	sure, certain; real, true	què
传	summon; propagate, transmit	chuán
师	teacher, master, specialist	shī
观	see, observe, view; appearance	guān
清	clear, pure, clean; peaceful	qīng
今	now, today, modern era	jīn
切	cut, mince, slice, carve	qiè
院	courtyard, yard, court; school	yuàn
让	allow, permit, yield, concede	ràng
识	recognize, understand, know	shí
候	wait; expect; visit; greet	hòu
带	belt, girdle, band, strap, zone	dài
导	direct, guide, lead, conduct	dǎo
争	dispute, fight, contend, strive	zhēng
运	run; simplified form of 	yùn
笑	smile, laugh, giggle; snicker	xiào
飞	fly; go quickly; dart; high	fēi
风	wind; air; manners, atmosphere	fēng
步	step, pace; walk, stroll	bù
改	change, alter; improve, remodel	gǎi
收	gather together, collect; harvest	shōu
根	root, base(d on); foundation	gēn
干	oppose, offend; invade; dried	gàn
造	construct, build, make, begin; prepare	zào
言	words, speech; speak, say	yán
联	connect, join; associate, ally	lián
持	sustain, support; hold, grasp	chí
组	class; section, department	zǔ
每	every, each	měi
济	help, aid, relieve; ferry, cross	jì
车	cart, vehicle; carry in cart	chē
亲	relatives, parents; intimate the hazel nut or filbert tree a thorny tree	qīn
极	extreme, utmost, furthest, final	jí
林	forest, grove; surname	lín
服	clothes; wear, dress	fú
快	rapid, quick, speedy, fast; soon	kuài
办	manage, do, handle; deal with	bàn
议	consult, talk over, discuss	yì
往	go, depart; past, formerly	wǎng
元	first; dollar; origin; head	yuán
英	petal, flower, leaf; brave, a hero; England, English	yīng
士	scholar, gentleman; soldier	shì
证	prove, confirm, verify; proof	zhèng
近	near, close; approach; intimate	jìn
失	lose; make mistake, neglect	shī
转	shift, move, turn	zhuǎn
夫	man, male adult, husband; those	fū
令		lìng
准	approve, allow, permit; in accord	zhǔn
布	cotton cloth, textiles, linen	bù
始	begin, start; then, only then	shǐ
怎	what? why? how?	zěn
呢	interrogative or emphatic final; (Cant.) this	ne
存	exist, live, be; survive; remain	cún
未	not yet; 8th terrestrial branch	wèi
远	distant, remote, far; profound	yuǎn
叫	cry, shout; hail, greet, call	jiào
台	platform; unit; term of address	tái
单	single, individual, only; lone	dān
影	shadow; image, reflection; photograph	yǐng
具	tool, implement; draw up, write	jù
罗	net for catching birds; gauze	luō
字	letter, character, word	zì
爱	love, be fond of, like	ài
击	strike, hit, beat; attack, fight	jī
流	flow, circulate, drift; class	liú
备	prepare, ready, perfect	bèi
兵	soldier, troops	bīng
连	join, connect; continuous; even	lián
调	transfer, move, change; tune	diào
深	deep; depth; far; very, extreme	shēn
商	commerce, business, trade	shāng
算	count, calculate, figure; plan	suàn
质	matter, material, substance	zhì
团	sphere, ball, circle; mass, lump	tuán
集	assemble, collect together	jí
百	one hundred; numerous, many	bǎi
需	need, require, must	xū
价	price, value	jià
花	flower; blossoms	huā
党	political party, gang, faction	dǎng
华	flowery; illustrious; Chinese	huá
城	castle; city, town; municipality	chéng
石	stone, rock, mineral; rad. 112	shí
级	level, rank, class; grade	jí
整	orderly, neat, tidy; whole	zhěng
府	prefecture; prefect; government	fǔ
离	rare beast; strange; elegant	lí
况	condition, situation; furthermore	kuàng
亚	Asia; second	yà
请	ask, request; invite; please	qǐng
技	skill, ability, talent, ingenuity	jì
际	border, boundary, juncture	jì
约	treaty, agreement, covenant	yuē
示	show, manifest; demonstrate	shì
复	return; repeat; repeatedly	fù
病	illness, sickness, disease	bìng
息	rest, put stop to, end, cease	xī
究	examine, investigate	jiū
线	line, thread, wire; clue	xiàn
似	resemble, similar to; as if, seem	shì
官	official, public servant	guān
火	fire, flame; burn; anger, rage	huǒ
断	sever, cut off; interrupt	duàn
精	essence; semen; spirit	jīng
满	fill; full, satisfied	mǎn
支	disperse, pay; support; branch	zhī
视	look at, inspect, observe, see	shì
消	vanish, die out; melt away	xiāo
越	exceed, go beyond; the more ...	yuè
器	receptacle, vessel; instrument	qì
容	looks, appearance; figure, form	róng
照	shine, illumine, reflect	zhào
须	must, have to, necessary	xū
九	nine	jiǔ
增	increase, add to, augment	zēng
研	grind, rub; study, research	yán
写	write; draw, sketch; compose	xiě
称	call; name, brand; address; say	chēng
企	plan a project; stand on tiptoe	qǐ
八	eight; all around, all sides	bā
功	achievement, merit, good result	gōng
吗	final interrogative particle	ma
包	wrap, pack, bundle; package	bāo
片	slice, splinter, strip; rad. 91	piàn
史	history, chronicle, annals	shǐ
委	appoint, send, commission	wěi
乎	interrogative or exclamatory final particle	hū
查	investigate, examine, seek into	chá
轻	light; easy, simple; gentle	qīng
易	change; easy	yì
早	early; soon; morning	zǎo
曾	already; sign of past	céng
除	eliminate, remove, except	chú
农	agriculture, farming; farmer	nóng
找	search, seek, look for; find	zhǎo
装	dress, clothes, attire; fill	zhuāng
广	wide, extensive, broad; rad. 53	guǎng
显	manifest, display; evident, clear	xiǎn
吧	emphatic final particle	ba
阿		ā
李	plum; judge; surname	lǐ
标	mark, symbol, label, sign; stand the bole of a tree	biāo
谈	talk; conversation; surname	tán
吃	eat; drink; suffer, endure, bear	chī
图	diagram; chart, map, picture	tú
念	think of, recall, study	niàn
六	number six	liù
引	to pull, draw out, attract; to stretch	yǐn
历	history; calendar	lì
首	head; first; leader, chief; a poem	shǒu
医	cure, heal; doctor, medical	yī
局	bureau, office; circumstance	jú
突	suddenly, abruptly, unexpectedly	tū
专	monopolize, take sole possession	zhuān
费	expenses, expenditures, fee	fèi
号	mark, sign; symbol; number	hào
尽	exhaust, use up; deplete	jǐn
另	another, separate, other	lìng
周	Zhou dynasty; circumference	zhōu
较	compare; comparatively, more	jiào
注	concentrate, focus, direct	zhù
语	language, words; saying, expression	yǔ
仅	only, merely, solely, just	jǐn
考	examine, test; investigate	kǎo
落	fall, drop; net income, surplus	luò
青	blue, green, black; young	qīng
随	follow, listen to, submit to	suí
选	choose, select; elect; election	xuǎn
列	a line; to arrange in order, classify	liè
武	military; martial, warlike	wǔ
红	red, vermillion; blush, flush	hóng
响	make sound, make noise; sound	xiǎng
虽	although, even if	suī
推	push, expel; push forward	tuī
势	power, force; tendency	shì
参	take part in, intervene; ginseng	cān
希	rare; hope, expect, strive for	xī
古	old, classic, ancient	gǔ
众	multitude, crowd; masses, public	zhòng
构	frame, building, structure	gòu
房	house, building; room	fáng
半	half	bàn
节	knot, node, joint; section	jié
土	soil, earth; items made of earth	tǔ
投	throw, cast, fling, pitch; jump	tóu
某	certain thing or person	mǒu
案	table, bench; legal case	àn
黑	black; dark; evil, sinister	hēi
维	maintain, preserve, safeguard	wéi
革	leather, animal hides; rad. 177	gé
划	to row or paddle boat; to scratch	huà